first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
kurt;Finthus;WNachmf  if;-;-;-;8.8.75;-;MBNR.8.PER.209
Lily;Fons;(Söngerin)  Todesnachricht;-;-;-;5.3.76;-;MBNR.8.PER.210
Frof.Joshua;Prawer;"Rez.""helt  d.Kreuzfahrer*";-;-;-;5.9.75;-;MBNR.8.PER.211
Idel;Pressmann;lo.lolestag;-;-;-;10.12.76;-;MBNR.8.PER.212
Frof.!lugo;Freuss;50.Todestag;-;-;-;3.10.75;-;MBNR.8.PER.213
Walter;Freuss;80  ilr;Dr.;-;-;17.1.75;-;MBNR.8.PER.214
Joachim;Prinz;75  HT;Dr.;-;-;6.5.77;-;MBNR.8.PER.215
Slavko;Radej;llachruf;-;-;-;30.1.10;-;MBNR.8.PER.216
Eleanor;Rathbone;loo.Geburtstag(freeden);-;-;-;17.1.75;-;MBNR.8.PER.217
\ialther;Rathenau;Rez.Kalnner-Buch(EG);-;-;-;1.4.77;-;MBNR.8.PER.218
Irma;Rau;lachmuf;-;-;-;5.12.18;-;MBNR.8.PER.219
;Reichert;Prof.Israel  E.R,  5,975;-;Nachruf;-;-;-;MBNR.8.PER.220
Eva;Reichmann;6.  80  Hf    14.1,77;Dr.;-;-;-;-;MBNR.8.PER.221
Frof.iiarcus;Reiner;E.R.;-;Nachruf;-;7.5.76;-;MBNR.8.PER.222
lax;Reinhardt;Biorr.Fiedler;-;-;-;10.10.75;-;MBNR.8.PER.223
Hanns;Reissner;G.;Dr.;Nachruf;-;8.7.77;-;MBNR.8.PER.224
R.il.;Rilke;loo.Geburtstag;-;-;-;5.12.75;-;MBNR.8.PER.225
limauuel;Koer;W    6.6,75;-;-;-;-;-;MBNR.8.PER.226
bavid;Rokeach;kez.Gedichte  deutsch  24.6,.77;-;-;-;-;-;MBNR.8.PER.227
Jona;Ron(Fröhlich;liachruf;Dr.;-;-;12.3.76;-;MBNR.8.PER.228
Pinchas;Rosen;90  (HT,Capell);-;-;-;2.4.77;-;MBNR.8.PER.229
;Rosen;"Dr.  Schlomo(rumän.Rabb  )""  Verantwortung.  .""";-;-;-;12.02.75;-;MBNR.8.PER.230
Finchas;Rosenbliith;E.  70  (Simon);-;-;-;13.8.76;-;MBNR.8.PER.231
;Rosenthal;James  Jacob  Tü(Lilienfeld);-;-;-;12.9.75;-;MBNR.8.PER.232
br.iianfred;Rosenthal;lo.Todestar  IT;-;-;-;19.11.76;-;MBNR.8.PER.233
liordechai;Rosenthaler;hax  Hachmf;-;-;-;18.2.77;-;MBNR.8.PER.234
;Rosenzweig;Franz  (90.Geburtstax,(Benchorin);-;-;-;24.12.76;-;MBNR.8.PER.235
Frof.Amnon;Rubinstein;(Ref.Beric:t);-;-;-;24.1.75;-;MBNR.8.PER.236
