first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
lerbert;Cramer;;-;Nachruf;-;20.8.48;-;MBNR.1.PER.216
Benedetto;Croce;"(""Observer"")";Prof.;-;-;28.4.44;-;MBNR.1.PER.217
Walter;Czapski;(KJV)  50(Blumenfeld);Dr.;-;-;20.12.46;-;MBNR.1.PER.218
Arthur;Czellitzer;14/1951  in  memoriam;Dr.;-;-;-;-;MBNR.1.PER.219
Bruno;Daniel;(Breslau);Dr.;Nachruf;-;2.8.46;-;MBNR.1.PER.220
Vr.Felix;Danziger;März  37  50;-;-;-;-;-;MBNR.1.PER.221
Else;David;(Hannhein)  10/1939  Nachruf(K.Hilb);-;-;-;-;-;MBNR.1.PER.222
Josef;David;(Hamburg)  80;Dr.;-;-;17.9.43;-;MBNR.1.PER.223
Leo;David;A.  (Haavarah)  41/1951  biogr.Notiz;-;-;-;-;-;MBNR.1.PER.224
kantor;Davidsohn;Hagnus;-;-;-;5.9.58;-;MBNR.1.PER.225
;Davidson;Joe  (Bildhauer)  2/1952  Tod;-;-;-;-;-;MBNR.1.PER.226
Kantor;Deiler;Max  To;-;-;-;2.7.43;-;MBNR.1.PER.227
Nachman;Denker;50;Dr.;-;-;28.3.47;-;MBNR.1.PER.228
Bernardo;Dessau;4/1950  Tod;Prof.;-;-;-;-;MBNR.1.PER.229
Dr.Hax;Dienemann;Rabb  Dr.Hax;Rabb.;-;-;-;-;MBNR.1.PER.230
Zwi;Disendruck;lachruf;-;-;-;2.10.40;-;MBNR.1.PER.231
Heir;Dizengoff;Oktob,36  dHachruf;-;-;-;-;-;MBNR.1.PER.232
F.;Dostojewskij;3/1950  ber  Politiker  D,;-;-;-;-;-;MBNR.1.PER.233
Erich;Dresel;(KJV)  (J.Levy);Dr.;Nachruf;-;7.8.53;-;MBNR.1.PER.234
Paul;Drucker;(+  1960)  Buch  über  D.(Bergman);-;-;-;7.7.61;-;MBNR.1.PER.235
Wilhelm;Dubiner;Tod;-;-;-;16.3.45;-;MBNR.1.PER.236
Henri;Dunant;  loo.Geburtstag;-;-;-;26.6.59;-;MBNR.1.PER.237
Sanuel;Dünner;;-;Nachruf;-;16.9.49;-;MBNR.1.PER.238
Salomön;Dyk;(Agronon)  iachruf;-;-;-;23.6.44;-;MBNR.1.PER.239
;Ebner;Dr.  Benjamin;-;Nachruf;-;19.11.48;-;MBNR.1.PER.240
